depth,threshold,feature,value
11,,,[ 39.  70.  36.   0.  32. 206.   0.  15.   0.   0.]
11,,,[0. 7. 0. 0. 7. 6. 0. 1. 0. 0.]
9,0.32956142723560333,1,
10,0.5379852652549744,3,
11,,,[ 0.  1.  0. 99.  2.  0.  0.  0.  0.  0.]
11,,,[0. 4. 1. 0. 0. 1. 0. 2. 0. 0.]
10,0.43369336426258087,1,
11,,,[ 70. 275.  57.  41.  28. 114.   0.  29.  16.   0.]
11,,,[13. 28. 22. 33. 23. 78. 60.  2.  0.  0.]
6,-0.9014683067798615,2,
7,0.9966394603252411,0,
8,0.13727368414402008,3,
9,0.9887784421443939,0,
10,-0.9998148083686829,2,
11,,,[ 53.  26.  27.   0.  13.  20.   0.  19.  14. 150.]
11,,,[ 90.  84. 223.   0. 101.  87.   0. 105. 149. 362.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
9,0.26814310252666473,1,
10,0.7965034544467926,0,
11,,,[ 42.  93.  45.   0.  37.  77.   0.  16.  20. 368.]
11,,,[132. 111.  72.   0.  55. 191.   0.  64.  40. 271.]
10,0.8029063940048218,0,
11,,,[ 55. 231.  67.   0.  60. 110.   0.  46.   0. 113.]
11,,,[36.  9. 16.  0.  6.  5.  0.  8.  0.  0.]
8,0.2627592235803604,1,
9,,,[ 0.  0.  0.  0.  0.  0. 56.  0.  0.  0.]
9,,,[0. 0. 6. 0. 0. 0. 0. 0. 0. 0.]
7,0.6801006495952606,0,
8,0.6799888610839844,0,
9,0.5524148643016815,3,
10,0.6763190627098083,0,
11,,,[0. 0. 0. 0. 0. 7. 0. 0. 0. 0.]
11,,,[0. 3. 0. 0. 4. 4. 0. 0. 0. 0.]
10,0.09324643015861511,1,
11,,,[0. 0. 0. 0. 0. 0. 0. 9. 0. 0.]
11,,,[ 0. 19.  8.  0.  2. 10.  0.  8.  0.  0.]
9,,,[ 0.  0.  0.  0.  0.  0. 64.  0.  0.  0.]
8,0.7595716416835785,0,
9,0.3966763764619827,1,
10,0.2938252240419388,1,
11,,,[  0.  44.  19.   0.  23. 138.   0.  16.   0.  20.]
11,,,[11. 40.  4.  0.  6. 41.  0.  4.  0. 20.]
10,-0.8938854932785034,2,
11,,,[0. 1. 2. 0. 0. 6. 0. 0. 0. 0.]
