depth,threshold,feature,is_leaf,value
10,-0.21348927915096283,3,False,[ 7.  7. 37.  0.  3.  3.  0.  3.  0.  0.]
11,-2.0,-2,True,[7. 3. 1. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[ 0.  4. 36.  0.  3.  3.  0.  3.  0.  0.]
10,0.4981106221675873,1,False,[29.  4.  0.  0. 11.  3.  0.  0.  0.  0.]
11,-2.0,-2,True,[29.  4.  0.  0.  8.  3.  0.  0.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
8,-0.9750284254550934,2,False,[ 9.  0. 10. 63.  3.  0.  0. 10.  0.  0.]
9,0.4586084634065628,1,False,[ 0.  0.  5. 63.  2.  0.  0.  9.  0.  0.]
10,-0.9865117371082306,2,False,[ 0.  0.  1. 63.  2.  0.  0.  0.  0.  0.]
11,-2.0,-2,True,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  0. 63.  2.  0.  0.  0.  0.  0.]
10,-0.18821973353624344,3,False,[0. 0. 4. 0. 0. 0. 0. 9. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
11,-2.0,-2,True,[0. 0. 4. 0. 0. 0. 0. 5. 0. 0.]
9,0.4966253340244293,0,False,[9. 0. 5. 0. 1. 0. 0. 1. 0. 0.]
10,0.4940033107995987,0,False,[0. 0. 5. 0. 1. 0. 0. 1. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
11,-2.0,-2,True,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
10,-2.0,-2,True,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,0.16199062019586563,1,False,[ 0. 35. 17. 20. 28. 10.  0. 22. 29. 59.]
7,0.4451689273118973,0,False,[ 0.  2.  3.  0.  2.  2.  0. 11.  5. 59.]
8,0.11612475663423538,1,False,[0. 0. 2. 0. 0. 2. 0. 4. 5. 0.]
9,0.41576385498046875,0,False,[0. 0. 2. 0. 0. 2. 0. 4. 0. 0.]
10,-0.09448072873055935,3,False,[0. 0. 2. 0. 0. 2. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 2. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 2. 0. 0. 0. 0. 0. 0. 0.]
10,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
9,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.]
8,0.06674297712743282,1,False,[ 0.  2.  1.  0.  2.  0.  0.  7.  0. 59.]
9,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 22.]
9,0.49394945800304413,0,False,[ 0.  2.  1.  0.  2.  0.  0.  7.  0. 37.]
10,-0.06879987753927708,3,False,[0. 0. 1. 0. 2. 0. 0. 7. 0. 0.]
11,-2.0,-2,True,[0. 0. 1. 0. 1. 0. 0. 7. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
10,-0.09452274069190025,3,False,[ 0.  2.  0.  0.  0.  0.  0.  0.  0. 37.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 37.]
11,-2.0,-2,True,[0. 2. 0. 0. 0. 0. 0. 0. 0. 0.]
7,-0.06879987753927708,3,False,[ 0. 33. 14. 20. 26.  8.  0. 11. 24.  0.]
8,0.4581020623445511,1,False,[ 0. 24.  8.  0. 19.  5.  0.  7.  0.  0.]
9,0.3108566403388977,1,False,[0. 9. 8. 0. 1. 0. 0. 5. 0. 0.]
10,0.2569012865424156,1,False,[0. 9. 0. 0. 1. 0. 0. 5. 0. 0.]
11,-2.0,-2,True,[0. 6. 0. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 3. 0. 0. 1. 0. 0. 5. 0. 0.]
10,-2.0,-2,True,[0. 0. 8. 0. 0. 0. 0. 0. 0. 0.]
9,-0.10309787839651108,3,False,[ 0. 15.  0.  0. 18.  5.  0.  2.  0.  0.]
10,0.3708347678184509,0,False,[0. 7. 0. 0. 2. 1. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 2. 1. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 7. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.3456997126340866,0,False,[ 0.  8.  0.  0. 16.  4.  0.  2.  0.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0. 10.  0.  0.  0.  0.  0.]
11,-2.0,-2,True,[0. 8. 0. 0. 6. 4. 0. 2. 0. 0.]
8,0.45675013959407806,0,False,[ 0.  9.  6. 20.  7.  3.  0.  4. 24.  0.]
9,-0.051617756485939026,3,False,[ 0.  9.  6.  0.  5.  3.  0.  3. 17.  0.]
10,0.35830341279506683,0,False,[ 0.  0.  2.  0.  5.  3.  0.  1. 17.  0.]
11,-2.0,-2,True,[ 0.  0.  2.  0.  2.  3.  0.  0. 17.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 3. 0. 0. 1. 0. 0.]
10,0.5389404892921448,1,False,[0. 9. 4. 0. 0. 0. 0. 2. 0. 0.]
11,-2.0,-2,True,[0. 9. 0. 0. 0. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[0. 0. 4. 0. 0. 0. 0. 2. 0. 0.]
9,0.32940874993801117,1,False,[ 0.  0.  0. 20.  2.  0.  0.  1.  7.  0.]
10,-2.0,-2,True,[ 0.  0.  0. 20.  0.  0.  0.  0.  0.  0.]
10,0.4989762306213379,0,False,[0. 0. 0. 0. 2. 0. 0. 1. 7. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 2. 0. 0. 1. 0. 0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
5,0.6678126156330109,0,False,[ 481.  272. 1529.  410.  714.  209. 2345.  837.  490.  596.]
6,0.48256199061870575,1,False,[ 345.  148.  883.  410.  375.  101. 1836.  387.  206.  261.]
7,0.262222021818161,1,False,[ 285.  121.  780.  410.  332.   84. 1185.  340.  193.  144.]
8,0.10541094467043877,1,False,[114.  34. 286.  55. 132.  19. 998. 133.  58.  33.]
9,0.6118742823600769,0,False,[50.  0. 18.  0. 15.  0.  0. 37.  0.  0.]
10,0.6106596291065216,0,False,[50.  0. 17.  0.  8.  0.  0. 17.  0.  0.]
11,-2.0,-2,True,[10.  0. 15.  0.  8.  0.  0. 15.  0.  0.]
11,-2.0,-2,True,[40.  0.  2.  0.  0.  0.  0.  2.  0.  0.]
10,-0.5874369442462921,3,False,[ 0.  0.  1.  0.  7.  0.  0. 20.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  1.  0.  4.  0.  0. 20.  0.  0.]
9,0.19530115276575089,1,False,[ 64.  34. 268.  55. 117.  19. 998.  96.  58.  33.]
