depth,threshold,feature,value,branches
7,,,"[0, 0, 0, 1146, 0, 398, 2066, 212, 41, 333, 0, 207, 430, 0, 345, 0, 566, 234, 241, 233]",
4,0.514153242111206,0,,"[292, 299]"
5,0.6084543466567993,3,,"[293, 296]"
6,0.48445773124694824,0,,"[294, 295]"
7,,,"[159, 0, 0, 98, 0, 310, 400, 131, 469, 194, 96, 165, 143, 0, 0, 0, 254, 106, 93, 0]",
7,,,"[169, 0, 0, 46, 0, 138, 0, 53, 0, 0, 0, 49, 52, 0, 177, 0, 0, 57, 77, 169]",
6,0.622023731470108,3,,"[297, 298]"
7,,,"[0, 400, 0, 0, 0, 9, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 367, 0, 97, 0, 191, 112, 116, 0, 113, 0, 84, 96, 0, 0, 0, 0, 128, 130, 18]",
5,0.5635644495487213,1,,"[300, 303]"
6,-0.9750284254550934,2,,"[301, 302]"
7,,,"[0, 0, 0, 22, 0, 11, 0, 17, 0, 0, 0, 6, 12, 0, 63, 0, 453, 2, 11, 34]",
7,,,"[0, 2412, 0, 85, 0, 50, 109, 60, 62, 180, 0, 74, 164, 0, 293, 0, 243, 68, 75, 14]",
6,0.5923464000225067,1,,"[304, 305]"
7,,,"[469, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 3, 1, 0, 0, 0, 0, 10, 12, 0]",
