depth,threshold,feature,value
9,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
6,0.446705624461174,0,
7,-0.051617756485939026,3,
8,0.40160611271858215,0,
9,-0.9968534409999847,2,
10,,,[ 0.  0.  0. 37.  2.  0.  0.  0.  0.  0.]
10,0.7221628725528717,1,
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
9,0.43025627732276917,0,
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 24.]
10,,,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
8,0.7223478853702545,1,
9,,,[ 0.  0.  0. 38.  0.  0.  0.  0.  0.  0.]
9,,,[0. 3. 0. 0. 0. 0. 0. 0. 0. 0.]
7,0.7365943491458893,1,
8,0.6959369778633118,1,
9,0.5356176197528839,0,
10,,,[0. 0. 0. 0. 0. 0. 0. 5. 0. 0.]
10,,,[0. 4. 0. 0. 0. 0. 0. 0. 0. 0.]
9,0.5449530184268951,0,
10,0.6987943649291992,1,
11,,,[0. 1. 0. 0. 0. 2. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 9. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
8,0.7441242039203644,1,
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 11.  0.]
